source,target,source_symbol,target_symbol,correlation,abs_correlation,sign
2568,342667,2568,342667,0.6584023912753613,0.6584023912753613,positive
2568,23650,2568,23650,0.7417547453840017,0.7417547453840017,positive
152110,57758,152110,57758,0.6574111376917712,0.6574111376917712,positive
143941,79083,143941,79083,0.6863047581807024,0.6863047581807024,positive
57758,2099,57758,2099,0.7067507127980704,0.7067507127980704,positive
57758,11122,57758,11122,0.6522193717000664,0.6522193717000664,positive
57758,2674,57758,2674,0.6602054383499508,0.6602054383499508,positive
3861,6663,3861,6663,0.7160992267409574,0.7160992267409574,positive
3861,810,3861,810,0.6595568961004056,0.6595568961004056,positive
3861,3872,3861,3872,0.867325746720233,0.867325746720233,positive
3861,8190,3861,8190,0.6973362141786756,0.6973362141786756,positive
3861,5268,3861,5268,0.6844532344070211,0.6844532344070211,positive
3861,6422,3861,6422,0.6602006134181247,0.6602006134181247,positive
3861,1825,3861,1825,0.8146629430683501,0.8146629430683501,positive
3861,653145,3861,653145,0.7865645886127366,0.7865645886127366,positive
3861,1830,3861,1830,0.8163562990894286,0.8163562990894286,positive
3861,2196,3861,2196,0.781317934721592,0.781317934721592,positive
3861,23650,3861,23650,0.7175422845980115,0.7175422845980115,positive
5655,11202,5655,11202,0.7772470461562517,0.7772470461562517,positive
144568,51442,144568,51442,0.682567159279541,0.682567159279541,positive
144568,2099,144568,2099,-0.659265091453604,0.659265091453604,negative
144568,2066,144568,2066,-0.6616775830539803,0.6616775830539803,negative
144568,29968,144568,29968,0.6868951147165465,0.6868951147165465,positive
144568,7802,144568,7802,-0.6653722057128364,0.6653722057128364,negative
144568,79083,144568,79083,-0.716612597175033,0.716612597175033,negative
146894,2532,146894,2532,0.8074157704301979,0.8074157704301979,positive
146894,730,146894,730,0.8039230979738412,0.8039230979738412,positive
51442,11254,51442,11254,0.6603242749673703,0.6603242749673703,positive
51442,11202,51442,11202,0.6663847606400414,0.6663847606400414,positive
51442,2099,51442,2099,-0.6941581095878331,0.6941581095878331,negative
51442,9568,51442,9568,0.6588859882931475,0.6588859882931475,positive
51442,8190,51442,8190,0.676391408327315,0.676391408327315,positive
51442,3868,51442,3868,0.6933821707408789,0.6933821707408789,positive
51442,79083,51442,79083,-0.6832383696476488,0.6832383696476488,negative
1908,6663,1908,6663,0.6932254056253293,0.6932254056253293,positive
1908,6422,1908,6422,0.675955247515912,0.675955247515912,positive
1908,117195,1908,117195,0.6612004965310339,0.6612004965310339,positive
1908,84417,1908,84417,0.6802777000509985,0.6802777000509985,positive
1908,2196,1908,2196,0.6675522749720161,0.6675522749720161,positive
