true_class,prob_basal,prob_her2,prob_luminal_A,prob_luminal_B,prob_normal
luminal_A,0.011296401393566344,0.03608524346120944,0.8514367294289137,0.05821746245062974,0.04296416326568089
basal,0.7203387281792405,0.0436016529873588,0.034277676615632614,0.022057240291777643,0.17972470192599
luminal_A,0.042512050521348585,0.15861482155291365,0.3157403941592878,0.43028211673312716,0.05285061703332271
luminal_A,0.01845304711797618,0.0641910996398635,0.663526191098539,0.19580268102200493,0.058026981121616805
luminal_B,0.07919252526833354,0.24523023348964082,0.2693014992677693,0.32848379424030927,0.0777919477339476
basal,0.8264504075943325,0.030732857015481143,0.021903855721808106,0.006973260527653577,0.11393961914072485
luminal_B,0.010917589836677528,0.10324293794114435,0.20655619536725112,0.6628654711438424,0.016417805711084185
luminal_A,0.007348432246994667,0.023057815713773244,0.815039905610418,0.021062607266437206,0.13349123916237735
luminal_A,0.03654784716653547,0.0902310600008594,0.5853284121397444,0.24215165353400483,0.04574102715885636
luminal_A,0.004208409871691784,0.04354648965322748,0.43747249070417754,0.5035996249633272,0.011172984807575967
luminal_A,0.0006996533690303497,0.02095926192688792,0.8715031140549427,0.0999083643258422,0.00692960632329728
luminal_B,0.22062437932186568,0.267283810423984,0.10407422523292147,0.35487836863676586,0.053139216384463006
basal,0.7508705285250659,0.1306901042936508,0.024167469283418196,0.060018467860410665,0.0342534300374548
normal,0.08660282176732316,0.033645578438396766,0.2641909763385755,0.02164115751480255,0.5939194659409024
luminal_A,0.0163684167466401,0.023431823898316155,0.7195116695510326,0.029963864905622174,0.21072422489838885
luminal_A,0.010819183980982775,0.04702092244698432,0.8042193487276755,0.11904423717474015,0.018896307669617272
luminal_A,0.027168444947355645,0.0457798791774416,0.5901885493667404,0.10117615626796019,0.23568697024050192
luminal_A,0.03837139088366235,0.09853661009352896,0.417734454237854,0.06214849163005544,0.38320905315489945
luminal_A,0.015723637661538795,0.034784953334148466,0.8480957753931052,0.03959456330864172,0.06180107030256577
luminal_B,0.032752408877305066,0.08904740828165614,0.1429430121593911,0.7102748351930609,0.024982335488586832
her2,0.1642694671961989,0.5957426554494737,0.06519466731237201,0.12258747417838307,0.052205735863572286
luminal_A,0.012702730972067384,0.033264260773828914,0.7575356344738166,0.15903267634318063,0.037464697437106814
luminal_A,0.020333888604032412,0.12742643928471165,0.6793462696740924,0.13405387042374156,0.03883953201342194
luminal_A,0.007030726075722934,0.048133269018726874,0.6317825425895253,0.2994351701607113,0.01361829215531404
her2,0.03357009440112326,0.3910574506730201,0.14240923876210326,0.41575399956278936,0.017209216600963584
basal,0.7878707181593005,0.03156537001236426,0.02985464170470963,0.020741281630730867,0.1299679884928948
luminal_A,0.004536790846388163,0.023311680352600787,0.8890217477647345,0.06381816225190681,0.01931161878437002
luminal_A,0.013512811479171622,0.02178325519207775,0.8446515255146638,0.05152288176878625,0.06852952604530069
luminal_B,0.01600829785822875,0.07158116547123626,0.15862450815877208,0.738918712509023,0.014867316002739639
luminal_A,0.04750364215849079,0.08720134449005146,0.4737661042721658,0.27831638064369246,0.11321252843559977
luminal_A,0.005055058170551335,0.02567232031675497,0.9246279897076594,0.03559167302542138,0.009052958779613688
luminal_A,0.005883529590364405,0.04965077350006403,0.752844376052726,0.14560986433359516,0.04601145652325048
luminal_B,0.029698278021230425,0.10636408104379001,0.15072481387714218,0.6909518094906417,0.022261017567196038
basal,0.9155656266554366,0.04081607978449132,0.00776362251150482,0.010159171581791523,0.025695499466775597
