rank,original_gene_id,hugo_symbol,mean_abs_shap_overall
1283,3043,HBB,4.638433677966815e-05
1284,254295,PHYHD1,4.619913639577766e-05
1285,6532,SLC6A4,4.6171454864386915e-05
1286,1047,CLGN,4.6152444199436004e-05
1287,9201,DCLK1,4.614060371681458e-05
1288,2300,FOXL1,4.608395708025531e-05
1289,5655,KLK10,4.592154579370558e-05
1290,202151,RANBP3L,4.591846928076069e-05
1291,28231,SLCO4A1,4.5887126924644056e-05
1292,5083,PAX9,4.586553808369332e-05
1293,7108,TM7SF2,4.5556366181984856e-05
1294,51751,HIGD1B,4.5531849922055635e-05
1295,79846,CFAP69,4.530050676391039e-05
1296,253012,HEPACAM2,4.517268756075711e-05
1297,5288,PIK3C2G,4.500451941970341e-05
1298,60401,EDA2R,4.491295635072427e-05
1299,130574,LYPD6,4.4855037611735575e-05
1300,84645,C22orf23,4.4674367182313315e-05
1301,1579,CYP4A11,4.462568476837635e-05
1302,80274,SCUBE1,4.452646883342776e-05
1303,388135,INSYN1,4.444068371582528e-05
1304,10158,PDZK1IP1,4.443443197920466e-05
1305,9603,NFE2L3,4.4428146967837574e-05
1306,8808,IL36R,4.4400501528747435e-05
1307,51473,DCDC2,4.4332887706202466e-05
1308,1029,CDKN2A,4.431799647624407e-05
1309,642273,FAM110C,4.4298238757546924e-05
1310,139221,PWWP3B,4.423644512146364e-05
1311,339674,SMIM45,4.423095216161389e-05
1312,10518,CIB2,4.407490518144813e-05
1313,79816,TLE6,4.398206950185483e-05
1314,25924,MYRIP,4.396879846398186e-05
1315,387914,SHISA2,4.393360572888371e-05
1316,440,ASNS,4.387580030285535e-05
1317,1549,CYP2A7,4.374405208624611e-05
1318,83450,DRC3,4.362428300783235e-05
1319,4796,TONSL,4.332810035170876e-05
1320,6715,SRD5A1,4.32782480039704e-05
1321,27092,CACNG4,4.323315720949015e-05
1322,85413,SLC22A16,4.3216639371877695e-05
1323,124817,CNTD1,4.319135801729953e-05
1324,132671,SPATA18,4.310299357123335e-05
1325,8900,CCNA1,4.300138654568822e-05
1326,60481,ELOVL5,4.296384483803681e-05
1327,83594,NUDT12,4.2938614037552224e-05
1328,23522,KAT6B,4.291755997354226e-05
1329,6579,SLCO1A2,4.281179648867549e-05
1330,729,C6,4.268088459404229e-05
1331,10164,CHST4,4.2600208356910845e-05
1332,346689,KLRG2,4.2458124852891384e-05
1333,2947,GSTM3,4.2341659765363375e-05
1334,10950,BTG3,4.2187944115740794e-05
1335,165829,GPR156,4.21114290108764e-05
1336,389336,C5orf46,4.201574622759825e-05
1337,51700,CYB5R2,4.1999066087838695e-05
1338,282890,ZNF311,4.1985967840098706e-05
1339,2118,ETV4,4.194365874990584e-05
1340,4826,NNAT,4.192137964360463e-05
1341,3976,LIF,4.1830473231403416e-05
1342,55544,RBM38,4.182850217024493e-05
1343,595,CCND1,4.1673578795982475e-05
1344,90342,FER1L5,4.163234968927397e-05
1345,8510,MMP23B,4.160156335257765e-05
1346,8140,SLC7A5,4.1581940071618254e-05
1347,57673,BEND3,4.156875512500873e-05
1348,55930,MYO5C,4.1561572325150905e-05
1349,25759,SHC2,4.143075012574703e-05
1350,441027,TMEM150C,4.130273814240351e-05
1351,2255,FGF10,4.129453090482694e-05
1352,10468,FST,4.1275704470188036e-05
1353,374860,ANKRD30B,4.12183804235424e-05
1354,9963,SLC23A1,4.120513300842415e-05
1355,89876,CFAP91,4.1166443189180394e-05
1356,25984,KRT23,4.088749025927433e-05
1357,81796,SLCO5A1,4.0754623939052866e-05
1358,80731,THSD7B,4.073334070658077e-05
1359,401409,RAB19,4.051110718255667e-05
1360,1548,CYP2A6,4.046809037352093e-05
1361,2358,FPR2,4.0444875849681824e-05
1362,222008,VSTM2A,4.020193287124182e-05
1363,146556,C16orf89,3.99445618428146e-05
1364,27285,TEKT2,3.9912787156324185e-05
1365,4059,BCAM,3.9889380922572995e-05
1366,2696,GIPR,3.983335146573302e-05
1367,1946,EFNA5,3.9790673055441564e-05
1368,23704,KCNE4,3.97816639008074e-05
1369,93010,B3GNT7,3.9780356523213094e-05
1370,27344,PCSK1N,3.964313438879911e-05
1371,401250,MCCD1,3.960043823096118e-05
1372,117286,CIB3,3.947828421139501e-05
1373,10397,NDRG1,3.932443686057234e-05
1374,185,AGTR1,3.9272037823361453e-05
1375,56977,STOX2,3.91789421329234e-05
1376,23683,PRKD3,3.9075696654917654e-05
1377,149473,CCDC24,3.90565473506106e-05
1378,5136,PDE1A,3.889352922162611e-05
1379,84460,ZMAT1,3.883517162041637e-05
1380,4241,MELTF,3.874590300666847e-05
1381,80115,BAIAP2L2,3.865906761969333e-05
1382,9582,APOBEC3B,3.862228813518879e-05
1383,25837,RAB26,3.83101501288764e-05
1384,388931,MFSD2B,3.826769587265388e-05
1385,112714,TUBA3E,3.819158628049006e-05
1386,125,ADH1B,3.815482847073136e-05
1387,1131,CHRM3,3.789647108147856e-05
1388,6898,TAT,3.783362867203912e-05
1389,4312,MMP1,3.7794961252563026e-05
1390,84107,ZIC4,3.774452271909871e-05
1391,79012,CAMKV,3.7560925570228384e-05
1392,10940,POP1,3.747809856894348e-05
1393,786,CACNG1,3.7470948830148117e-05
1394,120379,PIH1D2,3.7284945843921174e-05
1395,8553,BHLHE40,3.717110742514158e-05
1396,126205,NLRP8,3.7165940756556736e-05
1397,728621,CCDC30,3.7098044499096725e-05
1398,83657,DYNLRB2,3.703034410181559e-05
1399,1750,DLX6,3.6937419229057965e-05
1400,128821,CST9L,3.6825711649886455e-05
1401,143689,PIWIL4,3.681403234091608e-05
1402,342184,FMN1,3.6705877891064784e-05
1403,9185,REPS2,3.665099486684702e-05
1404,778,CACNA1F,3.6645638453865214e-05
1405,56654,NPDC1,3.6623614474545246e-05
1406,154091,SLC2A12,3.661976088778611e-05
1407,3908,LAMA2,3.661615430265479e-05
1408,8577,TMEFF1,3.657820046533218e-05
1409,79669,C3orf52,3.656117490462707e-05
1410,168002,DACT2,3.651876503187348e-05
1411,388662,SLC6A17,3.6489066168389204e-05
1412,5737,PTGFR,3.642313831734704e-05
1413,7433,VIPR1,3.640469164089501e-05
1414,2259,FGF14,3.629603236332816e-05
1415,157753,TMEM74,3.629301231839188e-05
1416,563,AZGP1,3.6232298269934184e-05
1417,81563,C1orf21,3.617373480365119e-05
1418,51059,FAM135B,3.614537358407632e-05
1419,8528,DDO,3.588109666038564e-05
1420,1359,CPA3,3.5801225616741684e-05
1421,2743,GLRB,3.574480331292056e-05
1422,400629,TEX19,3.563981342998393e-05
1423,3918,LAMC2,3.560474891836772e-05
1424,57577,CCDC191,3.559508469544379e-05
1425,30812,SOX8,3.5416116869665646e-05
1426,8800,PEX11A,3.527878602186043e-05
