feature_index,original_gene_id,hugo_symbol
548,23171,GPD1L
549,23175,LPIN1
550,23194,FBXL7
551,2322,FLT3
552,23231,SEL1L3
553,23245,ASTN2
554,23246,BOP1
555,23268,DNMBP
556,2327,FMO2
557,2330,FMO5
558,23303,KIF13B
559,2331,FMOD
560,23321,TRIM2
561,23336,SYNM
562,23338,JADE2
563,23349,PHF24
564,23362,PSD3
565,23371,TNS2
566,23397,NCAPH
567,23406,COTL1
568,23413,NCS1
569,23428,SLC7A8
570,23432,GPR161
571,2346,FOLH1
572,23460,ABCA6
573,2348,FOLR1
574,23492,CBX7
575,23522,KAT6B
576,2353,FOS
577,23532,PRAME
578,2354,FOSB
579,23541,SEC14L2
580,23544,SEZ6L
581,23551,RASD2
582,23555,TSPAN15
583,2358,FPR2
584,23581,CASP14
585,23590,PDSS1
586,23594,ORC6
587,23624,CBLC
588,23627,PRND
589,23639,DNAAF11
590,23650,TRIM29
591,23683,PRKD3
592,23704,KCNE4
593,23767,FLRT3
594,24137,KIF4A
595,24141,LAMP5
596,245973,ATP6V1C2
597,246181,AKR7L
598,247,ALOX15B
599,2491,CENPI
600,2525,FUT3
601,252884,ZNF396
602,2530,FUT8
603,253012,HEPACAM2
604,253190,SERHL2
605,2532,ACKR1
606,253559,CADM2
607,253782,CERS6
608,254122,SNX32
609,254263,CNIH2
610,254295,PHYHD1
611,254439,C11orf86
612,254778,VXN
613,255027,MPV17L
614,255189,PLA2G4F
615,255426,RASGEF1C
616,255743,NPNT
617,2558,GABRA5
618,256329,LMNTD2
619,256394,SERPINA11
620,2564,GABRE
621,256691,MAMDC2
622,256714,MAP7D2
623,2568,GABRP
624,257177,CFAP126
625,257194,NEGR1
626,257236,CFAP184
627,257240,KLHL34
628,25759,SHC2
629,25769,SLC24A2
630,25788,RAD54B
631,25789,TMEM59L
632,25790,CFAP45
633,25800,SLC39A6
634,25802,LMOD1
635,25803,SPDEF
636,25818,KLK5
637,25823,TPSG1
638,25837,RAB26
639,25841,ABTB2
640,25876,SPEF1
641,25884,CHRDL2
642,25891,PAMR1
643,25893,TRIM58
644,259,AMBP
645,25902,MTHFD1L
646,25907,TMEM158
647,2591,GALNT3
648,25924,MYRIP
649,259266,ASPM
650,25928,SOSTDC1
651,2593,GAMT
652,25946,ZNF385A
653,25984,KRT23
654,25992,SNED1
655,26018,LRIG1
656,260293,CYP4X1
657,26040,SETBP1
658,260429,PRSS33
659,260436,FDCSP
660,26047,CNTNAP2
661,26074,CFAP61
662,26154,ABCA12
663,261729,STEAP2
664,262,AMD1
665,26227,PHGDH
666,2624,GATA2
667,2625,GATA3
668,26271,FBXO5
