original_gene_id,hugo_symbol,mean_abs_shap_basal,mean_abs_shap_her2,mean_abs_shap_luminal_A,mean_abs_shap_luminal_B,mean_abs_shap_normal,mean_abs_shap_overall
113220,KIF12,0.0012858353269411176,0.006627593296905022,0.0220713312775694,0.0023127313375098588,0.014416877393080781,0.009342873726401236
113230,MISP3,0.005728320416252171,0.001399134797094,0.003132495432974069,0.0017234905589682094,0.0022715501126213543,0.002850998263581961
113235,SLC46A1,0.008701565303811418,0.0033580445251712317,0.009662703103518949,0.010792231668876077,0.004214008563992036,0.007345710633073943
11339,OIP5,0.00595731557503694,0.002820413447805048,0.013446179845710058,0.01320355831882009,0.0028943095083671056,0.007664355339147848
11341,SCRG1,0.006894039420228869,0.006315724334967854,0.001416805214361716,0.004148790205150891,0.002153817797220631,0.004185835394385993
113457,TUBA3D,0.0014984259943799383,0.007308218484155885,0.0067525970457313405,0.0020686191195750034,0.0041226980813485635,0.004350111745038146
113730,KLHDC7B,0.0010521576517807986,0.0006391853218692446,0.009696974801221475,0.008025438464923058,1.96728528974534e-05,0.003886685818538406
1138,CHRNA5,0.005041804919144676,0.00880385669449415,0.011064842836759101,0.0011596320934001436,0.013667290535979692,0.007947485415955552
113802,HENMT1,0.001387020352398492,0.007892150300984802,0.00306767349632059,0.008225214289429728,0.0020137205172280326,0.004517155791272329
114770,PGLYRP2,0.004905161669276887,0.0050440521028161465,0.010333343980043853,0.0017973103577899063,0.0014132153967964035,0.0046986167013446396
114793,FMNL2,0.00044568160879927224,0.000148020797301972,0.010532238859161215,0.002387969032988494,0.008441987710265452,0.004391179601703281
114815,SORCS1,0.004119733191100691,0.0024381027663180213,0.008694661775932649,0.010812975913664183,0.0037998422818529844,0.005973063185773705
114818,KLHL29,0.0031316607598594077,0.005256737886180552,0.0037469000394484125,0.0065252818193003775,0.012397315249673432,0.006211579150892437
114899,C1QTNF3,0.0008303061374341055,0.004508481898498377,0.003276341267684418,0.0007345202894851856,0.00934977121927339,0.0037398841624750948
1149,CIDEA,0.002725921896812071,0.0006482902569751898,0.0038247860372222224,0.0016507539441651103,0.0012003425704313728,0.002010018941121193
114905,C1QTNF7,0.0004068811612896184,0.008683968645544025,0.007094797902224706,0.00804080752044804,0.00604473868720468,0.006054238783342214
115,ADCY9,0.007271191365366669,0.0170311493909826,0.006435163273926152,0.014392235446458861,0.003474908657519141,0.009720929626850684
115019,SLC26A9,0.0008012921224491845,0.0010721625519315822,0.00103411284114192,0.0025172907892486557,0.0033567314774332465,0.0017563179564409176
